id,name,slug,halo_alias,created_at,active,alert_email
29,Home Glow Property Management,home-glow-property-management,import-home-glow-property-management,2026-04-01 06:29:47.847078+00,t,""
30,Navigata 365,navigata-365,import-navigata-365,2026-04-01 06:29:47.847078+00,t,""
31,Westside Dentistry,westside-dentistry,import-westside-dentistry,2026-04-01 06:29:47.847078+00,t,""
32,Kellie Finlay Legal,kellie-finlay-legal,import-kellie-finlay-legal,2026-04-01 06:29:47.847078+00,t,""
33,ZenBook Pty Ltd,zenbook-pty-ltd,import-zenbook-pty-ltd,2026-04-01 06:29:47.847078+00,t,""
34,Blambles Finance Group,blambles-finance-group,import-blambles-finance-group,2026-04-01 06:29:47.847078+00,t,""
35,My Bookkeeping Buddy,my-bookkeeping-buddy,import-my-bookkeeping-buddy,2026-04-01 06:29:47.847078+00,t,""
36,Truck & Trailer Sales & Service,truck-trailer-sales-service,import-truck-trailer-sales-service,2026-04-01 06:29:47.847078+00,t,""
37,Sue O'Loan,sue-o-loan,import-sue-o-loan,2026-04-01 06:29:47.847078+00,t,""
38,Inverell Freighters,inverell-freighters,import-inverell-freighters,2026-04-01 06:29:47.847078+00,t,""
39,Better Move Mobile Physiotherapy,better-move-mobile-physiotherapy,import-better-move-mobile-physiotherapy,2026-04-01 06:29:47.847078+00,t,""
40,New Hope Care,new-hope-care,import-new-hope-care,2026-04-01 06:29:47.847078+00,t,""
41,Emerge Advisory Pty Ltd T/A EFX Accountants + Advisors,emerge-advisory-pty-ltd-t-a-efx-accountants-advisors,import-emerge-advisory-pty-ltd-t-a-efx-accountants-advisors,2026-04-01 06:29:47.847078+00,t,""
42,GPSi Group Pty Ltd,gpsi-group-pty-ltd,import-gpsi-group-pty-ltd,2026-04-01 06:29:47.847078+00,t,""
43,Boland Petroleum,boland-petroleum,import-boland-petroleum,2026-04-01 06:29:47.847078+00,t,""
44,Critical Care Pest Management,critical-care-pest-management,import-critical-care-pest-management,2026-04-01 06:29:47.847078+00,t,""
45,Inverell Dental Services,inverell-dental-services,import-inverell-dental-services,2026-04-01 06:29:47.847078+00,t,""
46,Tubbys & Co Pty Ltd T/A Rev It Up Pizza,tubbys-co-pty-ltd-t-a-rev-it-up-pizza,import-tubbys-co-pty-ltd-t-a-rev-it-up-pizza,2026-04-01 06:29:47.847078+00,t,""
47,Tramby & Hanks,tramby-hanks,import-tramby-hanks,2026-04-01 06:29:47.847078+00,t,""
48,Millers Espresso,millers-espresso,import-millers-espresso,2026-04-01 06:29:47.847078+00,t,""
49,TLG Lawns and Landscapes,tlg-lawns-and-landscapes,import-tlg-lawns-and-landscapes,2026-04-01 06:29:47.847078+00,t,""
50,Schmick Property Maintenance,schmick-property-maintenance,import-schmick-property-maintenance,2026-04-01 06:29:47.847078+00,t,""
51,JMP Financial,jmp-financial,import-jmp-financial,2026-04-01 06:29:47.847078+00,t,""
52,Mudgeeraba Seafoods,mudgeeraba-seafoods,import-mudgeeraba-seafoods,2026-04-01 06:29:47.847078+00,t,""
53,Web Safe Staff,web-safe-staff,import-web-safe-staff,2026-04-01 06:29:47.847078+00,t,""
54,Ox Cleaning,ox-cleaning,import-ox-cleaning,2026-04-01 06:29:47.847078+00,t,""
55,Conrad Martens Plumbing,conrad-martens-plumbing,import-conrad-martens-plumbing,2026-04-01 06:29:47.847078+00,t,""
56,Buyrite Nominees Pty Ltd,buyrite-nominees-pty-ltd,import-buyrite-nominees-pty-ltd,2026-04-01 06:29:47.847078+00,t,""
57,Northern Tablelands Conveyancing,northern-tablelands-conveyancing,import-northern-tablelands-conveyancing,2026-04-01 06:29:47.847078+00,t,""
58,Boolah Farms,boolah-farms,import-boolah-farms,2026-04-01 06:29:47.847078+00,t,""
59,Moni Finance Group,moni-finance-group,import-moni-finance-group,2026-04-01 06:29:47.847078+00,t,""
60,Chiropractic Moves,chiropractic-moves,import-chiropractic-moves,2026-04-01 06:29:47.847078+00,t,""
123,Inverell Medical Centre (PBX 123),inverell-medical-centre-pbx-123,pbx-123,2026-04-04 16:33:19.301219+00,t,support+InverellMedicalCentre@zahezone.com.au
